Wall time,Step,Value
1590171143.692631,0,0.001367473043501377
1590179551.764502,1,0.002877697115764022
1590187994.2767017,2,0.03289847448468208
1590196477.9189007,3,0.07812724262475967
1590205210.3676012,4,0.11394794285297394
1590213757.5274982,5,0.145954892039299
1590222272.9295907,6,0.17563000321388245
1590230831.492374,7,0.20290187001228333
1590239337.631953,8,0.22737924754619598
1590247902.4634483,9,0.25398704409599304
1590256533.0684114,10,0.2776249349117279
1590265203.3981671,11,0.2998715341091156
1590273851.1891778,12,0.3196374773979187
1590282526.5275621,13,0.3390022814273834
1590291194.286991,14,0.3594322204589844
1590299721.4858925,15,0.38380497694015503
1590308249.6377044,16,0.3888658285140991
1590316788.8669443,17,0.4185323119163513
1590325362.3126318,18,0.4254635274410248
1590333947.796667,19,0.4505378305912018
1590342566.1915517,20,0.4627106487751007
1590350900.3708088,21,0.4756578505039215
1590358988.788293,22,0.4883080720901489
1590367116.8530908,23,0.5083913207054138
1590375229.455051,24,0.5337041616439819
1590383347.7769818,25,0.5337060689926147
1590391664.3897107,26,0.5375337600708008
1590400248.3737264,27,0.537074863910675
1590408827.8491874,28,0.5455624461174011
1590417401.1513262,29,0.5603397488594055
1590425881.8397965,30,0.6596614718437195
1590434307.5286076,31,0.7030028700828552
1590442716.1213813,32,0.7203293442726135
1590451129.8099916,33,0.7344489097595215
1590459560.4644675,34,0.7456784248352051
1590467968.6607704,35,0.7558656930923462
1590476402.9265761,36,0.7628743052482605
1590484808.5227282,37,0.7694565057754517
1590493239.6495614,38,0.779132604598999
1590501761.8092895,39,0.7854041457176208
1590510353.6932034,40,0.793635904788971
1590518743.0929158,41,0.7949638962745667
1590527151.5095634,42,0.796233057975769
1590535557.3328817,43,0.7972439527511597
1590543903.860299,44,0.7965501546859741
1590552262.3981624,45,0.7978710532188416
1590560752.9101083,46,0.7994039058685303
1590569131.904164,47,0.798782229423523
1590577667.450562,48,0.798675537109375
1590586224.3908021,49,0.7986510396003723
