Wall time,Step,Value
1590171143.6925273,0,0.06422343105077744
1590179551.7644067,1,0.1124630942940712
1590187994.2766104,2,0.39963239431381226
1590196477.918796,3,0.5613505840301514
1590205210.3675084,4,0.6240061521530151
1590213757.5273945,5,0.6624274253845215
1590222272.9294693,6,0.6909085512161255
1590230831.492272,7,0.7150129675865173
1590239337.6318464,8,0.7330218553543091
1590247902.4633498,9,0.7508813738822937
1590256533.0683074,10,0.7673524618148804
1590265203.39803,11,0.7805119156837463
1590273851.189066,12,0.7921016216278076
1590282526.5274665,13,0.8019824624061584
1590291194.286895,14,0.8135140538215637
1590299721.4857912,15,0.8254193663597107
1590308249.6375968,16,0.8289032578468323
1590316788.8668487,17,0.8434099555015564
1590325362.3125372,18,0.8480978012084961
1590333947.7965767,19,0.8585321307182312
1590342566.1914475,20,0.8654202222824097
1590350900.3707175,21,0.8717843890190125
1590358988.7882,22,0.8800626397132874
1590367116.852985,23,0.8890393376350403
1590375229.45496,24,0.8997451066970825
1590383347.7768967,25,0.9020251035690308
1590391664.3896155,26,0.9063453078269958
1590400248.3733835,27,0.9082174301147461
1590408827.8490868,28,0.9115787744522095
1590417401.1512337,29,0.9176824688911438
1590425881.8397,30,0.9468898177146912
1590434307.528516,31,0.9579029679298401
1590442716.1212866,32,0.9626380205154419
1590451129.8099008,33,0.9662337899208069
1590459560.4643779,34,0.9689627289772034
1590467968.660677,35,0.9712998867034912
1590476402.9264848,36,0.9735981822013855
1590484808.522632,37,0.9750076532363892
1590493239.6494386,38,0.9767438769340515
1590501761.8091962,39,0.9782257080078125
1590510353.6931074,40,0.980459988117218
1590518743.0928223,41,0.9808578491210938
1590527151.5092137,42,0.9809474349021912
1590535557.3327959,43,0.981326162815094
1590543903.8602076,44,0.9814193248748779
1590552262.3980718,45,0.9815921783447266
1590560752.910021,46,0.9819836616516113
1590569131.9040616,47,0.9818181395530701
1590577667.4504669,48,0.981703519821167
1590586224.390709,49,0.9819745421409607
