Wall time,Step,Value
1590171143.6924052,0,94.30057525634766
1590179551.7642806,1,80.1560287475586
1590187994.2764914,2,47.850868225097656
1590196477.9186776,3,36.30602264404297
1590205210.3673909,4,31.670909881591797
1590213757.5272746,5,28.472875595092773
1590222272.929347,6,26.52048110961914
1590230831.492143,7,24.453855514526367
1590239337.6316884,8,23.217426300048828
1590247902.4632301,9,21.79288101196289
1590256533.0681987,10,20.528575897216797
1590265203.397871,11,19.60418128967285
1590273851.1889446,12,18.764385223388672
1590282526.5273342,13,17.95119285583496
1590291194.2867851,14,16.976682662963867
1590299721.4856603,15,16.29946517944336
1590308249.6374633,16,15.940338134765625
1590316788.866738,17,14.856196403503418
1590325362.3124263,18,14.462980270385742
1590333947.7964447,19,13.796052932739258
1590342566.1913352,20,13.268290519714355
1590350900.370608,21,12.706509590148926
1590358988.788087,22,12.110004425048828
1590367116.8528802,23,11.373225212097168
1590375229.4548497,24,10.480879783630371
1590383347.7767913,25,10.118916511535645
1590391664.3895152,26,9.626768112182617
1590400248.3732862,27,9.287124633789062
1590408827.8489742,28,8.976062774658203
1590417401.151122,29,8.431599617004395
1590425881.8395722,30,6.5890092849731445
1590434307.5284076,31,6.033517837524414
1590442716.121174,32,5.807097434997559
1590451129.8097513,33,5.658780574798584
1590459560.46427,34,5.535586357116699
1590467968.6605647,35,5.431569576263428
1590476402.9263747,36,5.357900142669678
1590484808.5225234,37,5.292479515075684
1590493239.6493142,38,5.220552921295166
1590501761.8090818,39,5.167872428894043
1590510353.692986,40,5.091465473175049
1590518743.0927105,41,5.0762176513671875
1590527151.509097,42,5.068982124328613
1590535557.33269,43,5.056696891784668
1590543903.8600953,44,5.061666488647461
1590552262.3979652,45,5.05316162109375
1590560752.9099102,46,5.046594619750977
1590569131.9039462,47,5.054022312164307
1590577667.4503555,48,5.050150394439697
1590586224.3905995,49,5.053291320800781
